pmcid,n_participants
4565057,
7563756,29.0
5030332,80.0
6678781,
5902547,
6820536,40.0
8154462,20.0
5324609,
8544331,36.0
3447931,40.0
3965851,
7395771,
5460048,
6382839,34.0
6197719,92.0
2748718,30.0
4330553,4.0
4271330,
6290711,52.0
7005761,16.0
2648877,
6667657,12.0
5665859,
4589842,22.0
3984441,33.0
7272423,
3869649,19.0
4029023,10.0
4115625,
4318429,18.0
4017227,
8379626,67.0
3492343,58.0
3183226,
3991323,
5548834,
3780305,17.0
6344389,18.0
4174863,46.0
5596109,
7002496,20.0
4274095,20.0
6347794,38.0
7829678,53.0
5390693,233.0
6664004,
6878729,8.0
7779563,34.0
3483694,
8315277,
5870086,28.0
5598991,
7649291,12.0
5776089,21.0
6328158,
2151069,12.0
4075342,12.0
7430162,13.0
3775427,
3362560,24.0
3407245,10.0
7745153,46.0
7156375,
6016936,
3334814,103.0
4265725,
5537800,16.0
4175730,30.0
4030253,
3002948,15.0
6024199,
3520927,2.0
5218407,
3660406,
3182403,21.0
5460049,56.0
6847157,31.0
6585311,
8550949,66.0
7989009,29.0
2775905,
6246657,
3502502,
3510214,
2995581,
4319399,284.0
4838249,15.0
7481390,28.0
5717028,40.0
7875881,36.0
6868994,29.0
3409150,
4352055,
2144768,
3676955,33.0
4473263,50.0
3511796,44.0
8318202,
6528067,10.0
3147157,20.0
6509414,
2561002,
6136263,20.0
5279905,3.0
8785646,
5068584,56.0
5903407,
3554651,
2494616,
3742334,18.0
8018944,
8172304,72.0
3877773,
6989437,
6854061,198.0
4190683,
7194032,
7838677,39.0
6908505,70.0
5394595,8.0
7260173,39.0
5413198,60.0
4810172,20.0
2390848,15.0
6457314,83.0
8152834,40.0
3866656,17.0
4184784,
6697392,
7518235,24.0
5857897,5.0
7038454,
3893192,2.0
4869560,59.0
5281680,
7994216,24.0
5686883,
3258233,12.0
8615904,
3422286,12.0
7275020,90.0
4436102,
4522562,
4983635,
6389716,82.0
7057279,55.0
8699602,
6434022,
4370584,40.0
3078751,14.0
7913329,63.0
4530666,
3539852,
4034409,
7406917,7.0
4029608,
3869681,
4255751,
4732188,42.0
5371603,3.0
5719057,
6200185,75.0
4280551,
4477935,20.0
8569140,60.0
7493988,10.0
2993660,77.0
6688454,17.0
8893203,
6726765,18.0
7090024,67.0
6198067,
3889700,2.0
7339141,20.0
6699415,5.0
4416052,86.0
4975394,
7758977,
6675526,
7456884,19.0
6350268,63.0
4380440,
5655292,65.0
5104469,
7099000,
5270359,15.0
4458841,
7004957,
3605341,40.0
5758587,28.0
6220927,
3045463,
4048172,2.0
5881103,30.0
4717328,20.0
3894920,6.0
7082218,
3672681,46.0
4332461,32.0
8459240,
2935390,10.0
3791281,24.0
6646524,27.0
4990879,60.0
5266856,
3842522,48.0
7836234,
3701149,
3788350,
3913832,
8764488,20.0
3132672,
5832413,
7643395,
4072722,16.0
5339238,
5890144,32.0
6004505,
4936600,
7981326,15.0
4493392,18.0
5428836,
4215530,
7851842,35.0
5447679,33.0
7539836,96.0
6908964,
4349631,
3777673,
6195265,15.0
2525845,
6215330,22.0
7933165,99.0
3324921,20.0
5552726,
3423412,36.0
6086096,62.0
5390719,18.0
4117995,31.0
4366107,24.0
7029184,
2991239,
3365275,
7657454,
3251569,15.0
5225377,37.0
8163792,
8174049,98.0
8166909,
5371620,29.0
5139983,10.0
6668217,
3061355,1.0
7499173,6.0
5944238,
5962315,
8869855,32.0
5996277,
8753344,55.0
6939096,313.0
3315027,9.0
3830782,2.0
2736621,24.0
3958452,
4061064,27.0
7469830,49.0
6934551,21.0
5655021,2.0
5919964,20.0
5963507,
4382275,
7202324,
4596928,
6908882,
7306625,
8862392,67.0
3349667,17.0
6895037,76.0
6538491,19.0
4431729,
6209854,32.0
3262831,2.0
4309950,
5102642,
3744007,10.0
6066986,
7696273,14.0
7200443,
4856878,105.0
3660659,29.0
5557775,17.0
3015134,25.0
3905188,21.0
3902357,22.0
5772436,38.0
4480007,38.0
8548369,32.0
6252312,
5829027,30.0
4007379,
7943366,43.0
4053214,3.0
7275001,
5120778,
7817621,7.0
3319663,48.0
3930859,58.0
4211402,24.0
5094780,
5891971,
5744997,
6753164,23.0
3260530,24.0
1824707,
4543815,34.0
6332472,54.0
4183523,60.0
8612467,42.0
3777795,52.0
4410791,20.0
8861450,
3381445,
4860869,
4587539,53.0
7061333,34.0
8035440,64.0
3272045,
3140495,50.0
5101412,
8228527,
3675382,12.0
6819787,20.0
5447013,
8379217,296.0
5349082,
8459611,
8196262,
6175904,9.0
8090840,16.0
4749714,27.0
7890357,
3395705,
4697303,
6847411,
3682439,20.0
3815020,
3948047,43.0
3668141,32.0
4585139,
7527240,21.0
8050264,17.0
7416090,20.0
3808277,14.0
3373504,
7424029,
6405852,424.0
8752324,
3899022,27.0
6400097,16.0
3896871,69.0
3591747,
4889611,16.0
5766543,1.0
5562686,22.0
8791726,56.0
3980106,
7237737,
6491890,
3538283,20.0
3758284,
4316185,16.0
6930796,17.0
6881273,
7347986,
5008046,20.0
7313681,
5984595,15.0
8000089,2.0
7773781,30.0
5767266,
7059347,21.0
5993203,
4082872,16.0
6699247,27.0
8551919,52.0
3818578,21.0
8287987,58.0
7374605,
6937793,
4525020,
3814958,19.0
8785660,
6731699,30.0
5037100,
8386467,
8517178,
3872298,
5701148,
6043673,
3404037,
3498108,
3338067,
3116739,
5748416,24.0
4044900,16.0
5067102,90.0
8015493,24.0
6706374,
4696540,
5215384,12.0
4635922,149.0
8552029,42.0
8082384,
7052248,1.0
2820380,
3977621,
7489040,74.0
7375128,45.0
5540901,
3127678,16.0
5511877,2.0
4881397,45.0
5904188,
8062355,20.0
7264165,100.0
3719031,
7341340,
4214356,
7381702,13.0
5487342,
7103632,
5473647,20.0
4927925,
4240043,
4274875,
8228257,22.0
2577944,18.0
7267960,27.0
2569821,21.0
6170627,66.0
7058635,2.0
4477191,40.0
4141974,
3688684,31.0
6472252,40.0
7721236,
7082749,
3164011,
5216875,17.0
5478859,
4729319,
4493461,
3590451,18.0
5102650,38.0
5348631,22.0
3705201,
4107374,
6625518,
5953467,28.0
8413196,44.0
3614508,
8397119,31.0
4754402,
6067073,1.0
6989828,2.0
8766797,24.0
7294069,167.0
7772193,47.0
5267588,
5693847,40.0
4913992,99.0
6490893,21.0
3721022,
3569450,
8573207,28.0
5408054,27.0
4452897,23.0
3236212,
5136555,
4940400,
6051473,80.0
4148258,37.0
8254416,36.0
5376052,
6585730,20.0
7268023,1.0
7363900,3.0
7415508,36.0
5459904,52.0
3948885,
5275766,83.0
6899324,
8716545,
6485093,38.0
7007888,18.0
5427072,72.0
3549920,
8502874,
4959733,62.0
4755012,
4122182,
4606802,
7430003,
4814138,20.0
4186833,
4764327,18.0
4271605,
4692511,
5432635,70.0
3868704,
3022587,24.0
3402136,90.0
3583464,
8528693,41.0
7927295,29.0
2826186,
2805712,10.0
3644676,10.0
5433500,2.0
4707189,
5713179,
5075341,
5073153,6.0
8551593,72.0
3886996,15.0
2570714,30.0
3789290,9.0
4971060,28.0
6064935,
4623208,
3356348,28.0
3946345,28.0
5043643,10.0
5498521,19.0
7416050,
8152828,60.0
4903142,
4154688,30.0
8615726,53.0
7500182,150.0
8155504,
2952336,12.0
5603581,8.0
4838085,21.0
5390704,43.0
7399639,11.0
3783899,
3375616,
5966381,
8226248,45.0
4531212,91.0
6530345,9.0
4663274,
6287007,48.0
3751515,
4361644,14.0
2527524,4.0
2889713,
7267914,
6546101,
6291466,
2394569,
8106846,23.0
4670482,38.0
6783465,15.0
7004964,32.0
5309571,17.0
7267973,52.0
3897613,3.0
5345975,20.0
4873652,3.0
3856851,
4816802,2.0
8519860,19.0
8027452,
5474460,36.0
8410985,
6296514,24.0
8249890,
3703342,19.0
4035756,
3805980,
4453277,
2755755,10.0
5049624,18.0
5113676,1.0
6708884,2.0
3052361,24.0
1800344,10.0
3832610,
4410789,12.0
5317178,
3862268,1.0
6615160,36.0
3906535,20.0
5846304,
3784977,
6733998,
5715339,16.0
5554370,
3430931,
6838181,
4264953,16.0
4779507,12.0
4072601,24.0
3878376,
4341570,28.0
3631252,46.0
3842312,
3898929,21.0
4461307,2.0
5707232,54.0
7294099,38.0
4773017,20.0
7662091,
4781893,2.0
6932934,
7226604,
6728879,
3950546,42.0
7438913,80.0
4324146,
4237877,15.0
5701943,178.0
7903062,136.0
4468110,
6536856,66.0
5989285,21.0
8495173,21.0
3176913,
4898929,
3400031,46.0
6727739,15.0
5828450,24.0
7396401,
3527271,19.0
6232925,
5041055,13.0
5575270,18.0
5684566,85.0
7903004,73.0
3266503,11.0
4281542,48.0
6681173,
3590462,
6614391,
3935386,13.0
3913833,
3498892,
3582997,20.0
8088358,8.0
4134311,
5537408,
3734351,25.0
8149589,
3874541,
3946483,30.0
3897742,
6193478,7.0
8885704,
4797753,22.0
3398766,9.0
4350403,13.0
3387247,20.0
5579001,228.0
4301658,
6245284,
4222943,
3009480,
3246487,1.0
5091683,16.0
4683193,
6676011,38.0
7967023,23.0
8707613,14.0
4619344,
3410370,
3744921,30.0
7455211,20.0
5554925,651.0
6159748,27.0
6636756,
4116785,
6387933,17.0
6591190,
6930267,40.0
7451790,
7946662,22.0
4607368,16.0
3960161,
7468386,100.0
5269715,
6849263,66.0
6505675,
4481146,
4217331,
6181801,
3106359,21.0
4402596,10.0
4512680,
3025155,33.0
7428490,71.0
4725371,9.0
2646655,18.0
4370729,15.0
3171072,14.0
6481189,
6200838,5.0
7079031,32.0
2518373,20.0
8556613,
2991198,
6831619,
8464598,200.0
8410527,
7603392,53.0
5040199,
4870472,32.0
6650750,30.0
3636085,
3169575,
4075343,25.0
4957514,
4647500,
8421698,
7645615,24.0
6438321,
3434448,18.0
3631704,38.0
8326338,13.0
8321645,
5694469,32.0
4858533,
4633838,
5840443,15.0
7324903,52.0
4617387,10.0
3566602,
5953410,10.0
4960610,32.0
4667012,
7575198,
6232121,20.0
6360180,23.0
5908766,17.0
7438664,29.0
3391678,19.0
6491879,20.0
3221044,
8615791,62.0
6414418,
6685938,
4544853,
5737855,
2876881,
8032591,14.0
4686763,
6335668,30.0
8216203,
5418320,55.0
2702753,11.0
3772553,
5101482,20.0
3466236,8.0
5389622,14.0
6807652,
4792397,
6955618,84.0
6524720,111.0
6711877,31.0
4649056,29.0
4322727,22.0
7859100,2020.0
6917022,46.0
4034329,
6987717,86.0
6374554,
3220187,
6169325,37.0
7446033,
3394436,
4018348,
8046805,
3549497,
2525985,6.0
4032577,
7511410,
3274744,
5279692,
2825260,
3018423,14.0
6548857,
2585816,
7071377,
4007017,
7002564,
8596915,1.0
6051991,
4144959,24.0
4672877,21.0
5322448,34.0
4131876,14.0
8410528,639.0
7466835,30.0
5987841,
8703015,
1143777,
3364282,
3746996,
3860184,17.0
6775267,
4218934,
7721230,
3563087,1.0
7416051,29.0
7961038,51.0
8339076,
3174167,
4026698,13.0
8120105,54.0
4614048,28.0
7956962,79.0
4558049,46.0
7591942,30.0
5771000,16.0
6753189,38.0
2743772,16.0
5256125,58.0
6309619,535.0
7389638,2019.0
7925618,81.0
5702357,40.0
4630293,44.0
7141258,
3428803,
7548991,209.0
6969091,
7113175,24.0
6041384,30.0
5984593,74.0
6084775,24.0
4591484,9.0
7439096,1.0
6405507,20.0
4586270,21.0
4558824,
3865430,34.0
6776602,
7826297,
6693526,20.0
8495532,8.0
3766991,
5102646,21.0
3799631,
6070629,22.0
3344852,
5490687,
4474173,
2993720,
3302835,12.0
7181727,
3668994,
4691408,30.0
8460772,
5585191,30.0
3983486,1.0
4184873,16.0
4062281,30.0
7336141,83.0
4566935,20.0
5116552,9.0
2905610,
2749857,
8578723,92.0
2705682,15.0
5724830,
5701971,59.0
3610191,8.0
6509111,4.0
4792877,33.0
3971169,2.0
3990690,24.0
5951955,128.0
4585120,15.0
2958830,
3090571,10.0
3084809,22.0
5432174,18.0
6303343,65.0
8193533,
8666416,432.0
4114184,
6680530,20.0
5678287,100.0
3500461,16.0
6790308,50.0
4520539,
6250039,66.0
5359606,
5835070,12.0
5816803,
3483569,26.0
3361057,23.0
8413209,16.0
7058508,
3772311,20.0
7340148,45.0
8546162,10.0
4512728,2.0
7487274,
6971169,
6267999,
4876121,3.0
8451880,
4061874,
4786547,27.0
6478896,31.0
3002396,27.0
3341391,28.0
6974919,38.0
8079658,80.0
6779791,
4740953,
8280755,43.0
4714646,19.0
8517932,20.0
5027048,30.0
8421705,
4214743,
5531216,20.0
3420547,
5309221,
4513220,40.0
6519999,52.0
5908080,
4977170,
5801317,116.0
5338867,3.0
3283587,19.0
166149,10.0
5061815,
4779888,
4907975,
5037166,50.0
5953411,16.0
4299532,112.0
8460640,128.0
7044242,108.0
5169068,21.0
4709269,24.0
3956891,
4938209,
6279930,80.0
6853889,42.0
3868173,
8715032,
6351678,61.0
8045031,42.0
7063116,
3402450,
4317194,20.0
7284131,
3128082,13.0
8244967,
6445102,
8026217,
5371677,24.0
7551257,57.0
7779587,30.0
7151113,
6287083,
6380605,45.0
4333285,10.0
4585243,
5504237,30.0
4338545,
2877799,
3261381,
5996039,54.0
3387168,25.0
5797614,
5953307,219.0
5554004,
3830058,
8013735,
3901730,
7403383,5.0
6333851,20.0
6907842,
8344374,13.0
5809026,
8884259,342.0
4194003,
2705703,
7716820,
7848765,
3943846,67.0
6028829,19.0
5643375,30.0
5037230,68.0
4483156,
4523841,35.0
2701679,2.0
5099497,
8113248,
4466042,
4316702,18.0
7611695,46.0
5996092,216.0
6369363,21.0
8226532,31.0
4080316,2.0
7509800,63.0
7877466,
3404989,72.0
5591400,
5148219,2.0
4773384,
6026656,18.0
3777679,
5509941,20.0
7457077,32.0
3189203,70.0
3527573,19.0
6036145,16.0
5572336,41.0
4306597,16.0
5390398,
6307442,38.0
7242814,
6779815,22.0
6987472,
4204461,30.0
8774251,18.0
6045572,
7172032,
4106848,42.0
2583150,
3770910,
6428720,12.0
5008173,
6744568,
4835785,38.0
4515634,14.0
5660710,22.0
8415783,12.0
5844060,
4132267,
4681091,39.0
4717318,17.0
6007508,
4149208,18.0
7973271,
3680713,11.0
8617189,23.0
4352074,
8609487,
8785639,
2327213,
6590446,
5406753,
3329794,12.0
3935255,
8632519,14.0
8534220,
5719969,
4758827,16.0
8267862,48.0
3174219,13.0
2756584,
6458910,39.0
5279909,38.0
6660260,26.0
2989943,
1948845,
3125248,
2923563,2.0
4969259,73.0
4639442,23.0
8287201,
4324073,
3905352,
5956011,
5652281,
6969084,
3422311,
8299339,45.0
6965349,11.0
4728050,
8542033,
4506986,28.0
5133650,32.0
3991864,16.0
5490682,
7196208,
3356373,73.0
6411780,2.0
4585499,
7928375,49.0
6008384,354.0
7350548,
7772238,20.0
3394200,12.0
4608626,
8319239,
6434094,
3316621,20.0
7840726,128.0
4625557,30.0
8561439,
3498279,2.0
5530585,33.0
5501884,
3600174,51.0
4744695,
7264688,
2377337,20.0
8506644,5.0
4250191,
3002291,17.0
3013131,24.0
7328027,
5337483,18.0
3603861,
4625848,21.0
7198729,119.0
8837595,
4771731,68.0
2950744,38.0
3036976,21.0
2920311,
7325959,87.0
4495981,
4583545,35.0
7160846,18.0
6039839,30.0
4820053,
3213017,
6955985,
6094992,
5131954,
5964452,20.0
5650679,53.0
7760331,
7308367,30.0
8356988,25.0
5643204,
4481508,
7850567,30.0
3661727,54.0
4512714,28.0
6346665,17.0
6831914,
6345784,
5565787,25.0
5503292,50.0
7008231,22.0
7580186,52.0
8424013,
3669058,
7268036,100.0
4059922,16.0
3528678,100.0
7240289,20.0
6103265,
6912258,40.0
3322129,3.0
5091010,417.0
7063975,29.0
8414685,40.0
8645564,30.0
4379901,55.0
6525150,53.0
8789684,73.0
7911420,5.0
5006857,
8720193,67.0
8192216,143.0
4086026,12.0
7309184,40.0
7746820,105.0
5205575,112.0
6865810,
6361807,
3474750,
6783415,
5665929,44.0
5516734,24.0
8720198,
3984093,20.0
3332056,
7670044,
4451418,76.0
3379986,10.0
6932986,
5309400,43.0
5460047,60.0
4619796,30.0
6688445,
5480016,24.0
5822570,
6433888,
3426465,8.0
3534702,31.0
3359800,
4460129,19.0
8279071,36.0
3692444,11.0
5536366,
3489813,
4852198,
8236713,16.0
6823375,
6938298,
4218999,
4834945,
8036207,
5760650,22.0
7844088,
8824509,20.0
5830458,
6097101,
3613798,
7749604,
3416700,
5404760,21.0
3366978,8.0
6102316,16.0
8168467,20.0
4599064,24.0
3483777,23.0
7293620,
5112988,47.0
5341328,15.0
3759791,21.0
5742108,
2478709,16.0
3686858,2.0
4189331,16.0
3346725,
4936632,
7681174,30.0
4263140,19.0
6749494,17.0
4112936,16.0
7555088,
6627032,
7172875,53.0
3426015,
4019564,
4019881,2.0
6092994,2.0
6234325,
6545409,26.0
7762811,
6909243,105.0
5805221,10.0
5000576,
8566838,20.0
3990587,
3515589,28.0
6306484,4.0
6861638,8.0
4205092,16.0
4410794,1.0
3931746,26.0
4182760,17.0
4967793,2.0
5689580,
3765321,
7978337,273.0
2805429,
4182437,
3464044,
7295154,16.0
7416094,12.0
5942817,
6216427,84.0
6282848,32.0
8166311,
8075091,
7428479,90.0
6114065,18.0
3072511,18.0
5767270,25.0
6823717,32.0
4871416,38.0
6214650,
7267906,60.0
7785343,36.0
2582437,15.0
8515297,
5318420,
4717323,
6987789,11.0
6088138,
5101634,
6336825,
3557158,11.0
3522615,
3579187,24.0
2666800,
5028003,
4547759,20.0
8505455,3.0
4389358,8.0
6041563,24.0
3810651,
5359254,28.0
8413771,53.0
3073936,
8565294,43.0
8121565,7.0
3424055,
4802529,3.0
8363005,43.0
6790302,23.0
6974031,
8677754,52.0
3059891,
8808980,
6051311,36.0
6465626,39.0
4872413,
8026031,
7880987,22.0
3525956,22.0
4582804,25.0
4649361,
7456987,82.0
7013238,37.0
5423966,37.0
5826397,
3744823,
4333775,20.0
4859784,64.0
8824585,113.0
8578056,
5934703,
4707362,43.0
6194586,
3951481,
5428215,46.0
4464254,30.0
7375093,2.0
3770922,
5490680,
7563151,
7060213,39.0
5073133,87.0
4834768,
5556089,
5082970,30.0
3813625,
3788711,3.0
3741391,
8152848,34.0
4773387,24.0
3587882,
5066828,
3885617,26.0
3487908,52.0
6304436,68.0
3778258,
4330549,
6901178,
4841538,
8844611,40.0
5167221,
4589806,22.0
4299952,57.0
7177590,88.0
5390838,238.0
3464709,19.0
3282900,40.0
8096430,59.0
2518922,24.0
7759590,155.0
3345361,
4221616,14.0
3447818,
4096999,
4011948,
5030331,
6051673,13.0
3561664,
4556667,13.0
4159995,
4061791,
8413787,18.0
3923150,
5835354,
5893717,36.0
4949632,1206.0
3984447,47.0
4215471,32.0
8062740,
2911396,17.0
4240192,
3555868,2.0
7921457,31.0
4687299,38.0
7031677,170.0
3586479,
6558200,45.0
3309293,
4824756,
4576412,
7294056,
7728610,40.0
4353194,
2944888,13.0
